Unidad de Negocio,Ruta,Numero Cliente,Cliente,Frecuencia de Visita,Venta Mensual
GDL 2,BVA124,20000,Cliente Demo 0,Semanal,12582.89
MTY 1,BVA200,20001,Cliente Demo 1,Semanal,0.0
GDL 1,BVA201,20002,Cliente Demo 2,Quincenal,4756.84
GDL 1,BVA201,20003,Cliente Demo 3,Semanal,6418.82
GDL 2,BVA117,20004,Cliente Demo 4,Semanal,3514.28
GDL 2,BVA118,20005,Cliente Demo 5,Quincenal,16379.57
GDL 2,BVA118,20006,Cliente Demo 6,Semanal,0.0
MTY 1,BVA201,20007,Cliente Demo 7,Semanal,0.0
GDL 1,BVA201,20008,Cliente Demo 8,Quincenal,0.0
GDL 1,BVA200,20009,Cliente Demo 9,Quincenal,17066.92
GDL 2,BVA116,20010,Cliente Demo 10,Quincenal,3014.32
MTY 1,BVA201,20011,Cliente Demo 11,Mensual,10676.27
MTY 1,BVA200,20012,Cliente Demo 12,Mensual,9254.23
GDL 2,BVA116,20013,Cliente Demo 13,Quincenal,11122.74
GDL 2,BVA118,20014,Cliente Demo 14,Quincenal,620.55
GDL 2,BVA117,20015,Cliente Demo 15,Quincenal,15736.59
GDL 2,BVA124,20016,Cliente Demo 16,Mensual,16798.49
GDL 2,BVA118,20017,Cliente Demo 17,Mensual,0.0
GDL 2,BVA116,20018,Cliente Demo 18,Semanal,12630.72
GDL 2,BVA117,20019,Cliente Demo 19,Semanal,0.0
GDL 1,BVA200,20020,Cliente Demo 20,Quincenal,12818.12
GDL 2,BVA117,20021,Cliente Demo 21,Mensual,2999.94
GDL 2,BVA118,20022,Cliente Demo 22,Mensual,0.0
GDL 2,BVA117,20023,Cliente Demo 23,Mensual,11038.86
GDL 2,BVA116,20024,Cliente Demo 24,Quincenal,7807.11
GDL 1,BVA201,20025,Cliente Demo 25,Semanal,0.0
GDL 2,BVA116,20026,Cliente Demo 26,Quincenal,0.0
GDL 2,BVA124,20027,Cliente Demo 27,Semanal,16682.56
GDL 1,BVA201,20028,Cliente Demo 28,Semanal,8279.86
GDL 2,BVA118,20029,Cliente Demo 29,Quincenal,2304.31
GDL 1,BVA200,20030,Cliente Demo 30,Semanal,17731.69
GDL 2,BVA124,20031,Cliente Demo 31,Semanal,15148.5
GDL 2,BVA116,20032,Cliente Demo 32,Mensual,2506.53
MTY 1,BVA201,20033,Cliente Demo 33,Semanal,16598.9
MTY 1,BVA201,20034,Cliente Demo 34,Quincenal,15697.17
MTY 1,BVA200,20035,Cliente Demo 35,Quincenal,0.0
GDL 2,BVA124,20036,Cliente Demo 36,Semanal,0.0
GDL 2,BVA117,20037,Cliente Demo 37,Mensual,0.0
GDL 1,BVA201,20038,Cliente Demo 38,Mensual,1269.28
GDL 2,BVA117,20039,Cliente Demo 39,Semanal,6232.99
GDL 2,BVA124,20040,Cliente Demo 40,Semanal,14510.51
GDL 2,BVA118,20041,Cliente Demo 41,Quincenal,0.0
GDL 2,BVA118,20042,Cliente Demo 42,Semanal,0.0
MTY 1,BVA200,20043,Cliente Demo 43,Mensual,0.0
GDL 2,BVA124,20044,Cliente Demo 44,Semanal,0.0
GDL 1,BVA201,20045,Cliente Demo 45,Quincenal,16581.44
GDL 2,BVA117,20046,Cliente Demo 46,Quincenal,0.0
GDL 2,BVA124,20047,Cliente Demo 47,Quincenal,6441.07
GDL 2,BVA118,20048,Cliente Demo 48,Quincenal,13353.77
GDL 2,BVA118,20049,Cliente Demo 49,Quincenal,0.0
MTY 1,BVA200,20050,Cliente Demo 50,Semanal,4275.51
GDL 1,BVA200,20051,Cliente Demo 51,Semanal,8308.18
MTY 1,BVA200,20052,Cliente Demo 52,Semanal,0.0
MTY 1,BVA201,20053,Cliente Demo 53,Semanal,3422.05
GDL 1,BVA200,20054,Cliente Demo 54,Quincenal,9121.11
MTY 1,BVA201,20055,Cliente Demo 55,Mensual,7714.98
GDL 2,BVA116,20056,Cliente Demo 56,Semanal,0.0
GDL 2,BVA117,20057,Cliente Demo 57,Mensual,6714.37
GDL 2,BVA117,20058,Cliente Demo 58,Semanal,10576.41
GDL 2,BVA117,20059,Cliente Demo 59,Semanal,0.0
GDL 2,BVA117,20060,Cliente Demo 60,Mensual,531.77
